id,name,rating,user_ratings_total,latitude,longitude,types1,types2,types3,types4,types5,types6,types7,latitude_region
706,Mikado Ryotei,4.5,369.0,30.373440000000002,-97.724686,bar, restaurant, food, point_of_interest, establishment,,,North
708,Earl J. Pomerleau Pocket Park,4.3,6.0,30.3184832,-97.6867909,park, point_of_interest, establishment,,,,,North
716,La Placita,4.4,241.0,30.194588800000002,-97.7451895,restaurant, food, point_of_interest, establishment,,,,Central
717,Dittmar District Park,4.4,297.0,30.1825707,-97.79972059999999,park, tourist_attraction, point_of_interest, establishment,,,,Central
719,Rosa's Café & Tortilla Factory,4.2,1305.0,30.1713294,-97.7990977,restaurant, meal_takeaway, food, point_of_interest, establishment,,,Central
720,Sullivan Park,4.4,8.0,30.1397276,-97.7903859,park, point_of_interest, establishment,,,,,South
721,Historical Marker,3.7,3.0,30.176056,-97.7086248,park, point_of_interest, establishment,,,,,Central
722,Alicia’s Tacoriendo,4.9,21.0,30.170678999999996,-97.6898498,restaurant, food, point_of_interest, establishment,,,,Central
723,"Pastor Edward Clarence Craig, Jr. Neighborhood Park",4.4,139.0,30.1989,-97.73979200000001,park, tourist_attraction, point_of_interest, establishment,,,,Central
728,Brooklyn breakfast shop,5.0,35.0,30.1852909,-97.7920979,restaurant, food, point_of_interest, establishment,,,,Central
731,Kendra Page Neighborhood Park,3.9,57.0,30.18003479999999,-97.7641629,park, tourist_attraction, point_of_interest, establishment,,,,Central
772,Grand Meadow Neighborhood Park,3.8,55.0,30.156798,-97.7427435,park, tourist_attraction, point_of_interest, establishment,,,,Central
773,Papa John's Pizza,3.6,135.0,30.1573674,-97.7446082,restaurant, food, point_of_interest, establishment,,,,Central
774,MI Homes Model Home,2.0,1.0,30.154698100000005,-97.7544694,point_of_interest, establishment,,,,,,Central
775,South Boggy Creek Greenbelt,3.8,9.0,30.18055279999999,-97.7804983,cemetery, tourist_attraction, park, point_of_interest, establishment,,,Central
776,Century South,4.0,1072.0,30.1898169,-97.7742949,shopping_mall, point_of_interest, establishment,,,,,Central
779,Boggy Creek Masonic Cemetery,4.5,12.0,30.182448200000003,-97.78070229999999,point_of_interest, establishment,,,,,,Central
